2025-03-17 17:50:03,984 - gmail_import - INFO - Connecting to MotherDuck database: md:dewey
2025-03-17 17:50:05,099 - gmail_import - INFO - Successfully connected to MotherDuck
2025-03-17 17:50:05,957 - gmail_import - WARNING - Failed to create index: Binder Error: Table "email_analyses" does not have a column named "thread_id"

Candidate bindings: : "id"
2025-03-17 17:50:06,369 - gmail_import - WARNING - Failed to create index: Binder Error: Table "email_analyses" does not have a column named "internal_date"

Candidate bindings: : "analysis_date"
2025-03-17 17:50:06,638 - gmail_import - WARNING - Failed to create index: Binder Error: Table "email_analyses" does not have a column named "status"

Candidate bindings: : "id"
2025-03-17 17:50:06,932 - gmail_import - WARNING - Failed to create index: Binder Error: Table "email_analyses" does not have a column named "batch_id"

Candidate bindings: : "id"
2025-03-17 17:50:07,200 - gmail_import - WARNING - Failed to create index: Binder Error: Table "email_analyses" does not have a column named "import_timestamp"

Candidate bindings: : "scores"
2025-03-17 17:50:07,201 - gmail_import - INFO - Connected to database at md:dewey
2025-03-17 17:50:07,201 - gmail_import - INFO - Using token from /Users/srvo/dewey/token.json
2025-03-17 17:50:07,213 - gmail_import - INFO - Refreshing expired credentials
2025-03-17 17:50:07,456 - gmail_import - INFO - Importing all historical emails
2025-03-17 17:50:07,456 - gmail_import - INFO - Including sent emails
2025-03-17 17:50:07,762 - gmail_import - INFO - Fetched 500 messages, total: 500
2025-03-17 17:50:08,545 - gmail_import - INFO - Fetched 500 messages, total: 1000
2025-03-17 17:50:09,337 - gmail_import - INFO - Fetched 500 messages, total: 1500
2025-03-17 17:50:10,121 - gmail_import - INFO - Fetched 500 messages, total: 2000
2025-03-17 17:50:10,834 - gmail_import - INFO - Fetched 500 messages, total: 2500
2025-03-17 17:50:11,590 - gmail_import - INFO - Fetched 500 messages, total: 3000
2025-03-17 17:50:12,384 - gmail_import - INFO - Fetched 500 messages, total: 3500
2025-03-17 17:50:13,130 - gmail_import - INFO - Fetched 500 messages, total: 4000
2025-03-17 17:50:13,919 - gmail_import - INFO - Fetched 500 messages, total: 4500
2025-03-17 17:50:14,695 - gmail_import - INFO - Fetched 500 messages, total: 5000
2025-03-17 17:50:15,484 - gmail_import - INFO - Fetched 500 messages, total: 5500
2025-03-17 17:50:16,284 - gmail_import - INFO - Fetched 500 messages, total: 6000
2025-03-17 17:50:17,055 - gmail_import - INFO - Fetched 500 messages, total: 6500
2025-03-17 17:50:17,852 - gmail_import - INFO - Fetched 500 messages, total: 7000
2025-03-17 17:50:18,635 - gmail_import - INFO - Fetched 500 messages, total: 7500
2025-03-17 17:50:19,394 - gmail_import - INFO - Fetched 500 messages, total: 8000
2025-03-17 17:50:20,129 - gmail_import - INFO - Fetched 500 messages, total: 8500
2025-03-17 17:50:20,909 - gmail_import - INFO - Fetched 500 messages, total: 9000
2025-03-17 17:50:21,671 - gmail_import - INFO - Fetched 500 messages, total: 9500
2025-03-17 17:50:22,428 - gmail_import - INFO - Fetched 500 messages, total: 10000
2025-03-17 17:50:23,211 - gmail_import - INFO - Fetched 500 messages, total: 10500
2025-03-17 17:50:23,950 - gmail_import - INFO - Fetched 500 messages, total: 11000
2025-03-17 17:50:24,673 - gmail_import - INFO - Fetched 500 messages, total: 11500
2025-03-17 17:50:25,417 - gmail_import - INFO - Fetched 500 messages, total: 12000
2025-03-17 17:50:26,153 - gmail_import - INFO - Fetched 500 messages, total: 12500
2025-03-17 17:50:26,910 - gmail_import - INFO - Fetched 500 messages, total: 13000
2025-03-17 17:50:27,687 - gmail_import - INFO - Fetched 500 messages, total: 13500
2025-03-17 17:50:28,439 - gmail_import - INFO - Fetched 500 messages, total: 14000
2025-03-17 17:50:29,225 - gmail_import - INFO - Fetched 500 messages, total: 14500
2025-03-17 17:50:29,982 - gmail_import - INFO - Fetched 500 messages, total: 15000
2025-03-17 17:50:30,729 - gmail_import - INFO - Fetched 500 messages, total: 15500
2025-03-17 17:50:31,508 - gmail_import - INFO - Fetched 500 messages, total: 16000
2025-03-17 17:50:32,279 - gmail_import - INFO - Fetched 500 messages, total: 16500
2025-03-17 17:50:33,035 - gmail_import - INFO - Fetched 500 messages, total: 17000
